year,runtime,director,star,rating
2016,88,Jay Martin,Allie Marie Evans,3.6
2018,101,Seung-Won Lee,Je-Heon Choi,5.7
2009,91,Chris Nahon,Jun Ji-hyun,5.2
2015,140,Dong-hoon Choi,Jun Ji-hyun,7.2
2006,93,M.J. Bassett,Sean Pertwee,6.1
2017,85,Lloyd Kaufman,Asta Paredes,5.6
2019,85,Andrew Loveday,Craig Fairbrass,5.5
2018,111,Aleksandr Boguslavskiy,Milos Bikovic,4.5
2022,99,Corey Pearson,Teressa Liane,4.2
2014,100,Jake Paltrow,Nicholas Hoult,5.8
2003,90,Josef Fares,Fares Fares,6.7
2015,97,Ara Paiaya,Mickey Rourke,3.9
2015,88,April Mullen,Katharine Isabelle,4.9
2011,101,Ernie Barbarash,Jean-Claude Van Damme,6.1
2005,93,Neil Breen,Neil Breen,4.1
2016,88,Titus Paar,Steven Seagal,2.9
2022,86,Mark Savage,Louis Mandylor,3.8
2009,102,Jeff King,Steve Austin,5.7
2014,85,Emile Edwin Smith,Christopher Judge,2.6
2022,153,Hark Tsui,Jing Wu,5.4
2003,119,Andrew Lau,Edison Chen,7.3
2006,118,Hal Hartley,Parker Posey,6.1
2010,81,Jonathan Glendening,Isabella Calthorpe,4.3
2014,95,Tom Hammock,Haley Lu Richardson,5.3
2019,97,Rodney Jackson,Tavares M. Wilson,6.5
2014,86,Kurando Mitsutake,Jennifer Mullaney,4.8
2015,89,Mark Atkins,Jason London,3.3
2017,85,Peter Ricq,Matthew Nelson-Mahood,5.5
2014,90,Kriv Stenders,Simon Pegg,5.8
2014,137,Kimo Stamboel,Kazuki Kitamura,6.4
2013,85,Lloyd Kaufman,Asta Paredes,5.3
2019,99,Tom DeNucci,Theo Rossi,5.5
2012,91,Mark Atkins,Corin Nemec,2.6
2020,80,Gabriel Carrer,Lora Burke,5.4
2017,96,Peter Malota,Jean-Claude Van Damme,4.3
2010,101,Tony Krantz,Antonio Banderas,5.4
2018,106,Russell Mulcahy,Thomas Cocquerel,5.1
2008,99,Nick Vallelonga,Stana Katic,4.8
2022,144,Ponram,Pugazh,3.4
2018,164,Vijay Krishna Acharya,Aamir Khan,4.0
2015,83,Christopher Leone,Mark Hapka,6.0
2020,105,Wych Kaosayananda,Mark Dacascos,5.1
2015,122,Maclain Nelson,James Marsters,4.7
2016,78,Rick Morales,Adam West,6.7
2010,83,Jerzy Skolimowski,Vincent Gallo,6.1
2015,96,Keoni Waxman,Steven Seagal,4.4
2022,106,R. Ellis Frazier,Paul Sidhu,7.2
2021,79,Hadi Hajaig,Con O'Neill,5.3
2017,105,Jesse Haaja,Kristofer Gummerus,4.6
2012,96,Jessy Terrero,50 Cent,4.6
2011,106,John Stockwell,Paz Vega,5.5
2022,71,Mark Polonia,James Kelly,2.0
2007,97,Sebastian Gutierrez,Lucy Liu,4.9
2010,98,Keoni Waxman,Eric Roberts,5.1
2000,82,Bob Buchholz,Lara Jill Miller,6.0
2022,97,Stuart Brennan,John Rhys-Davies,4.0
2020,114,Conor Allyn,Jake Allyn,5.4
2012,163,Abbas Alibhai Burmawalla,Vinod Khanna,4.2
2013,100,Bryan Ramirez,Jeremy Ray Valdez,4.9
2003,92,Ron Krauss,James Spader,5.1
2022,80,Callum Burn,Kris Saddler,4.5
2017,111,Klim Shipenko,Vladimir Vdovichenkov,7.2
2017,95,B. Harrison Smith,Bill Moseley,3.0
2001,100,Ringo Lam,Jean-Claude Van Damme,5.3
2011,120,Adam Green,Adam Rifkin,5.6
2001,99,Stefan Ruzowitzky,Eddie Izzard,4.8
2009,130,Vishal Bhardwaj,Shahid Kapoor,7.4
2011,90,William Kaufman,Cuba Gooding Jr.,5.4
2008,96,Uwe Boll,Michael Paré,4.7
2020,87,Sung Jin Ahn,Chris Jai Alex,6.3
2017,92,Srikant Chellappa,Judge Reinhold,4.6
2013,103,Ray Bengston,Kelly Greyson,4.7
2018,89,Justin Lee,Kevin Makely,4.6
2016,86,Mark Dacascos,Alexander Nevsky,2.6
2017,128,Jason Kwan,Donnie Yen,6.7
2017,109,Andrzej Bartkowiak,Alexander Nevsky,2.3
2009,161,Renzil D'Silva,Lewis Tan,5.7
2004,107,Kevin Downes,Stephen Baldwin,4.1
2021,111,Leon Ding,Paul 'Maxx' Rinehart,6.2
2009,94,Keoni Waxman,Steven Seagal,5.0
2004,91,Philippe Martinez,Jean-Claude Van Damme,5.5
2021,109,Todd Randall,Milo Gibson,3.9
2015,107,Anne K. Black,Melanie Stone,5.1
2019,122,Kang Hyo-jin,Park Sung-woong,6.9
2011,90,Adrian Vitoria,Sean Bean,5.5
2016,85,David Hartman,A. Michael Baldwin,4.9
2016,90,Daniel Zirilli,Pim Bubear,3.2
2014,108,Jonathan English,Michelle Fairley,4.3
2015,87,John Lyde,Matthew Reese,5.1
2021,89,Kellie Madison,James Faulkner,4.0
2014,86,Uwe Boll,Dominic Purcell,3.0
2016,90,Miguel Angel Ferrer,Amy Johnston,4.3
2021,89,Christian Sesma,Mickey Rourke,3.6
2012,93,Jonathan Glendening,Adele Silva,3.0
2017,120,Mauricio Velazco,Mauricio Velazco,7.5
2013,86,Shana Betz,Anna Paquin,5.6
2012,174,Karan Malhotra,Hrithik Roshan,6.9
2018,85,James Nunn,Mike 'The Miz' Mizanin,4.9
2022,90,Michael Su,Michael Paré,5.5
2019,107,Hua-Tao Teng,Shu Qi,4.4
2012,91,William Kaufman,Cuba Gooding Jr.,5.1
2019,123,Dzintars Dreibergs,Oto Brantevics,7.2
2008,80,Guillaume Ivernel,Vincent Lindon,6.6
2013,99,Farren Blackburn,Charlie Bewley,4.5
2019,88,Jeremiah Jones,Clayton Snyder,2.6
2022,94,Joseph Mbah,Olivia Okoro,2.2
2011,85,Mike Gunther,50 Cent,4.4
2012,90,David Weaver,Samuel L. Jackson,5.6
2001,90,J.S. Cardone,Kerr Smith,5.3
2020,85,Isaac Florentine,Scott Adkins,5.3
2017,119,Herman Yau,Andy Lau,6.3
2019,87,Canyon Prince,Emily Sweet,3.4
2012,98,Keoni Waxman,Steven Seagal,4.7
2009,139,Teddy Chan,Xueqi Wang,6.8
2018,93,Matthew Charles Santoro,Austin Stowell,4.4
2017,85,Jeff Leroy,Tasha Tacosa,2.1
2020,86,Brian Ulrich,Robert Palmer Watkins,3.6
2012,106,Charlotte Brändström,Jakob Eklund,7.5
2007,85,Aristomenis Tsirbas,Evan Rachel Wood,6.5
2013,84,George Isaac,Gabriel Byrne,4.4
2020,90,Gabriel Sabloff,David A.R. White,4.3
2015,109,Roland Joffé,Josh Hartnett,4.5
2015,110,Allan Ungar,Dominic Purcell,5.8
2005,97,mink,Steven Seagal,4.3
2014,93,Uwe Boll,Brendan Fletcher,6.0
2010,108,Jean-Claude Van Damme,Jean-Claude Van Damme,7.4
2009,119,Tung-Shing Yee,Jackie Chan,6.9
2019,140,Paul Munger,Kevin Sorbo,3.3
2018,100,Hadi Hajaig,Sam Rockwell,5.6
2021,109,Preston A. Whitmore II,Iyana Halley,3.8
2019,113,Alan Yuen,Talu Wang,4.0
2008,108,Jérôme Salle,Tomer Sisley,6.4
2019,92,Charlie Comparetto,Kelli Berglund,3.9
2005,99,David J. Burke,Morgan Freeman,5.3
2013,88,Gabriel Sabloff,David A.R. White,4.6
2005,103,Kunihiko Yuyama,Veronica Taylor,6.8
2008,128,Peter Flinth,Joakim Nätterqvist,6.6
2021,82,Joth Riggs,Natasha Henstridge,3.4
2011,113,Renny Harlin,Rupert Friend,5.5
2021,82,Michael D. Olmos,Danny Trejo,4.5
2011,96,Uwe Boll,Dolph Lundgren,3.1
2022,98,Rui Constantino,Andrew Albert,7.8
2020,108,Julia Verdin,Jane Widdop,5.3
2013,124,Mark Schmidt,Jonas Armstrong,6.5
2022,45,Eric Notarnicola,Gregg Turkington,9.1
2017,99,Zackary Adler,Craig Fairbrass,5.8
2012,87,Steven Sheil,Miki Mizuno,4.5
2017,90,Aaron Barsky,Lilly 4k,4.3
2018,92,Ross Boyask,Stu Bennett,4.4
2001,98,Scott Reynolds,Radha Mitchell,6.3
2022,92,Neil Mackay,Marlene Malcolm,3.7
2016,99,Uwe Boll,Brendan Fletcher,4.7
2020,87,Jared Cohn,Michael Madsen,2.7
2000,119,Ryûhei Kitamura,Tak Sakaguchi,6.3
2016,107,Christian Sesma,Paul Sloan,4.3
2011,98,Giorgio Serafini,Wesley Snipes,4.7
2019,87,Giorgio Serafini,Dolph Lundgren,3.6
2015,88,Kevin Carraway,Michael Jai White,3.4
2011,94,Terry Miles,Steve Austin,5.2
2012,99,Babak Najafi,Joel Kinnaman,6.2
2013,89,Tibor Takács,William Hope,3.4
2002,95,Glenn Durfort,Adrian Dunbar,5.4
2017,88,Alex Merkin,Denise Richards,3.9
2015,86,Nick Love,Stephen Dorff,5.0
2012,99,Eduardo Rodriguez,Scott Adkins,5.4
2016,45,Todd Shawn,Eric Roberts,4.2
2020,93,Drew Mylrea,Drew Van Acker,3.9
2015,85,Tommy Frazier,Nicole Sienna,3.2
2006,122,Serdar Akar,Necati Sasmaz,5.6
2008,87,Gregg Bishop,Jared Kusnitz,5.8
2021,90,Christopher Ray,Sean Patrick Flanery,4.3
2018,118,Chee Keong Cheung,Oris Erhuero,3.9
2000,92,Geoff Murphy,Christopher Lambert,4.5
2017,99,Victor Mathieu,Toby Hemingway,4.5
2014,105,Hakan Yonat,Belçim Bilgin,7.3
2001,92,Albert Pyun,Tom Sizemore,3.5
2010,87,Fouad Mikati,Joe Anderson,4.9
2016,99,Ali F. Mostafa,Ali Suliman,5.1
2022,90,Zuko Nodada,Siyabonga Thwala,4.2
2012,92,Mischa Webley,Chadwick Boseman,4.4
2015,95,Trey Nelson,Josh Duhamel,6.0
2011,99,Adam Brooks,Adam Brooks,5.8
2018,91,Corey Pearson,Paul O'Brien,5.9
2009,88,Ian Fitzgibbon,Gabriel Byrne,6.3
2016,92,Guy-Roger Duvert,Mike Dopud,5.0
2005,93,Lee Daniels,Cuba Gooding Jr.,5.5
2013,97,Kohl Glass,Rusty Joiner,3.4
2021,92,Matt Handy,Nadège August,5.6
2013,95,Isaac Florentine,Scott Adkins,6.1
2011,97,Anne K. Black,Richard McWilliams,4.3
2010,86,Albert Pyun,Inbar Lavi,2.3
2022,101,Michael Matteo Rossi,Krista Allen,7.1
2013,89,Hélène Giraud,Holly J. Barrett,7.1
2017,139,Matthew Holmes,Jack Martin,5.8
2015,92,Benjamin Rocher,Jean Reno,5.7
2010,111,Johnny Hickey,Damien Di Paola,5.7
2018,165,Anil Sharma,Utkarsh Sharma,5.0
2016,90,Mike Norris,Aliya Astaphan,3.0
2003,94,Jean-Claude La Marre,Monica Calhoun,2.4
2002,150,Sanjay Gupta,Amitabh Bachchan,6.6
2020,84,Sean McNamara,Melissa Rauch,3.8
2013,83,David DeCoteau,Fivel Stewart,2.4
2021,136,Sicheng Chen,Baoqiang Wang,5.6
2014,131,Roy Hin Yeung Chow,Sammo Kam-Bo Hung,6.4
2017,113,Timothy Woodward Jr.,Sean Faris,4.4
2015,84,John Baumgartner,Jhey Castles,2.1
2012,94,Ryan Little,Rick Macy,5.7
2004,99,Jingle Ma,Michelle Yeoh,5.0
2015,102,Matt Hullum,Burnie Burns,5.5
2018,104,Michael Caton-Jones,Ron Perlman,5.5
2022,80,Ravi Kapoor,Venk Potula,7.5
2001,104,Brian Trenchard-Smith,Michael York,3.9
2017,85,Trevor Simms,Trevor Simms,4.5
2016,90,Sacha Bennett,Ian Ogilvy,5.1
2022,95,Christian de la Cortina,Jodelle Ferland,7.6
2021,87,Mario N. Bonassin,Emily Killian,2.8
2017,90,Mark Young,Scout Taylor-Compton,4.3
2019,89,Audrey Cummings,Olunike Adeliyi,5.2
2011,90,Michael Pavone,John Cena,5.1
2016,90,Charles Barker,Max Deacon,4.9
2002,93,Tommy Lee Wallace,Jon Bon Jovi,4.5
2002,89,Bob Misiorowski,Jean-Claude Van Damme,3.9
2017,71,Dustin Ferguson,Dawna Lee Heising,2.4
2002,103,Peter Pau,Michelle Yeoh,4.6
2013,92,Brian Trenchard-Smith,Cuba Gooding Jr.,4.3
2019,89,G.J. Echternkamp,Grant Bowler,4.0
2019,98,Simon Cox,Simon Haycock,3.1
2000,154,Vidhu Vinod Chopra,Sanjay Dutt,6.6
2007,90,C.B. Harding,Larry the Cable Guy,3.6
2019,85,Genndy Tartakovsky,Aaron LaPlante,8.4
2014,100,Albert Pyun,Sasha Mitchell,8.1
2012,102,Ron Scalpello,Joe Cole,6.1
2018,110,Dennis Gansel,Henning Baum,6.3
2001,108,Juan Carlos Fresnadillo,Max von Sydow,6.8
2013,88,David A. Armstrong,Stephen Lang,5.7
2015,71,Donald Farmer,Angela Kerecz,1.3
2011,91,Prachya Pinkaew,Kevin Bacon,5.0
2001,85,Lee Demarbre,Phil Caracas,4.9
2017,92,Simon West,Antonio Banderas,4.1
2008,86,Michael Salomon,Toby Keith,4.8
2014,90,Wych Kaosayananda,Kane Kosugi,2.8
2003,78,Leslie Libman,Jeremy Kewley,3.4
2017,95,Charles Martin,Orlando Bloom,4.5
2001,96,John Irvin,Jeremy Irons,5.3
2011,137,Nishikant Kamat,John Abraham,6.5
2009,120,JK Youn,Kim Yoo-jeong,5.5
2021,86,Derek Ting,Derek Ting,3.6
2019,103,Mike Gunther,Will Yun Lee,2.8
2016,113,Luke Sparke,Dan Ewing,4.1
2014,90,Jon Wright,Ben Kingsley,4.6
2019,98,Mike Phillips,Jade Willey,3.4
2004,90,Christopher Collet,Dan Green,4.9
2015,90,Jing Wu,Jing Wu,5.3
2022,80,David Beton,Stephen Moyer,4.0
2018,89,Alan Mulligan,Laurence O'Fuarain,5.4
2008,87,Chris Langman,Clive Robertson,3.0
2013,127,Jens Jonsson,Matias Varela,6.2
2022,96,Mo Zhang,Yongsheng Chen,6.4
2010,107,Kevin Munroe,Brandon Routh,5.1
2017,94,Erik Canuel,Dylan Everett,5.2
2018,87,Rene Perez,Robert Bronzi,4.5
2012,109,Kathrine Windfeld,Mikael Persbrandt,6.3
2008,97,K.C. Bascombe,Rachel Miner,5.1
2011,133,Hun Jang,Shin Ha-kyun,7.3
2019,126,Scott Martin,Jason Patric,5.3
2017,93,John Stockwell,Wesley Snipes,3.7
2019,85,Michael Merino,Sean Patrick Flanery,3.5
2012,95,Hany Abu-Assad,Jeffrey Dean Morgan,4.5
2018,88,Orson Oblowitz,Angela Trimbur,4.9
2013,96,Dietrich Johnston,Brennan Elliott,3.6
2012,90,Fumihiko Sori,Colleen Clinkenbeard,5.7
2001,92,Timur Bekmambetov,Karen McDougal,3.0
2017,85,Robert Dyke,Sarah Butler,2.9
2010,110,Andrey Konchalovskiy,Richard Philipps,4.1
2011,87,Uwe Boll,Lindsay Hollister,2.4
2013,99,Keoni Waxman,Steven Seagal,4.3
2020,84,Daniel Lusko,Eric Roberts,2.0
2013,95,Roel Reiné,Randy Orton,5.3
2018,158,Rohit Shetty,Ranveer Singh,5.5
2016,105,Warren P. Sonoda,Brett Granstaff,4.7
2022,86,Brent Christy,Tom Wopat,5.2
2015,91,Ryan Little,Luke Goss,4.2
2011,143,Rohit Shetty,Ajay Devgn,6.8
2011,130,Siddique,Salman Khan,4.7
2016,96,Pat Williams,Jesse Metcalfe,4.7
2021,86,Thorbjørn Christoffersen,Emma Sehested Høeg,6.9
2000,48,Hiroyuki Kitakubo,Yûki Kudô,6.6
2019,103,Bailey Kobe,Shannon Murray,5.2
2005,88,Ellory Elkayem,Aimee-Lynn Chadwick,3.3
2001,98,James Keach,Leslie Nielsen,4.5
2018,92,Daniel Anghelcev,Diana Angelson,3.2
2020,101,Brendan Kyle Cochrane,Ice-T,4.6
2018,86,Ryan Bellgardt,Ryan Merriman,3.8
2019,82,Kirk Caouette,Andrea Stefancikova,3.8
2022,106,Rui Constantino,Rui Miguel Almeida,8.5
2018,108,Ben Hernandez Bray,Logan Arevalo,5.4
2017,103,Rob York,Brandon Ray Olive,5.2
2018,86,Robert Rodriguez,Roby Attal,4.9
2004,104,Tim Hunter,Ray Liotta,6.2
2020,132,Woo-seok Yang,Angus Macfadyen,6.2
2019,90,Reza Ghassemi,Tyler Wood,5.7
2020,89,Gia Skova,Gia Skova,3.0
2019,104,Tom Waller,Jim Warny,5.8
2010,119,Mahsun Kirmizigül,Haluk Bilginer,5.7
2006,110,Johnnie To,Nick Cheung,7.2
2001,86,William Wesley,Lou Diamond Phillips,4.4
2018,80,Dale Fabrigar,Lance Henriksen,3.8
2011,78,Alfonso Rodríguez,Catalina Rodriguez,3.3
2001,88,George Gallo,Orlando Jones,5.4
2001,113,Rich Murray,Sam Jones III,5.5
2006,105,Christian Volckman,Daniel Craig,6.6
2011,80,Brandon Slagle,Keith Kraft,3.8
2020,90,Ross Boyask,Stu Bennett,3.5
2016,118,John Lyde,Adam Johnson,5.5
2004,107,Su-chang Kong,Woo-seong Kam,6.2
2011,121,Bejoy Nambiar,Kalki Koechlin,7.2
2007,88,Adam Rifkin,Adam Rifkin,3.5
2017,111,Ron Bonk,Collin Dean,3.8
2016,116,Cristina Jacob,Crina Semciuc,6.1
2014,97,Noel Clarke,Noel Clarke,4.7
2014,136,Daniel Monzón,Luis Tosar,6.4
2015,85,Bradford May,Quincy Brown,4.6
2022,120,Paul Allica,Paul Allica,2.7
2005,122,Stanley Tong,Bing Shao,6.1
2008,105,Matt Vancil,Nathan Rice,7.3
2016,102,Charles Burmeister,Scott Eastwood,4.3
2011,114,Jérôme Salle,Tomer Sisley,6.1
2017,91,Grey Rich,Nick Brodsky,7.4
2021,101,Oleh Sentsov,Serhii Filimonov,6.6
2020,68,Savage Steve Holland,Ricardo Hurtado,4.8
2012,89,Isaac Florentine,Christian Slater,3.6
2014,91,Cody Knotts,Roddy Piper,3.2
2019,91,Jesse V. Johnson,Dominiquie Vandenberg,5.2
2011,92,Alejandro Brugués,Alexis Díaz de Villegas,6.4
2021,87,Marcus Friendlander,Tito Ortiz,2.9
2019,95,Diogo Morgado,Maria Botelho Moniz,3.9
2001,95,Jack Sholder,Chris Potter,3.9
2017,108,Stephen Fung,Andy Lau,5.6
2016,91,Aaron Woodley,Jace Norman,4.4
2009,103,Danny Lerner,Olga Kurylenko,5.7
2003,84,Barak Epstein,Rhonda Shear,3.6
2015,82,Shane Wheeler,Bill Oberst Jr.,2.7
2016,87,Mark Potts,Benjamin Crutcher,5.2
2016,95,Don Bitters III,Jenny Allford,4.2
2021,85,Noah Luke,Richard Grieco,2.8
2012,96,Sang-yoon Lim,So Ji-seob,6.6
2004,94,Tony Giglio,William H. Macy,6.0
2010,96,Michael Oblowitz,Val Kilmer,4.1
2021,124,Travis Taute,Jarrid Geduld,4.8
2018,99,Harry Locke IV,Riley Dandy,3.0
2002,88,David Daniel,Kevin Hart,5.4
2021,90,Philippe Martinez,Steven Bauer,6.1
2012,88,Antonio Negret,Jim Caviezel,5.7
2009,77,Paul Etheredge,Zoë Bell,4.9
2019,107,Jung Da-Won,Ra Mi-ran,6.1
2018,101,Tom Oesch,Tom Everett Scott,5.7
2001,89,Sheldon Lettich,Jean-Claude Van Damme,4.6
2000,172,Rakesh Roshan,Hrithik Roshan,6.9
2006,116,Sanjay Gupta,Sanjay Dutt,4.8
2015,93,A. Todd Smith,Melanie Stone,5.3
2010,82,Jessy Terrero,50 Cent,3.8
2002,93,Gary Jones,Heidi Lenhart,3.7
2008,90,Aash Aaron,Robert Díaz,2.6
2002,96,Kari Skogland,Tanya Allen,5.7
2000,122,Aleksey Balabanov,Sergey Bodrov,7.7
2018,119,Byung-woo Kim,Ha Jung-woo,5.4
2007,84,Les Mayfield,Cedric the Entertainer,4.6
2009,92,Alex De Rakoff,Clint Koroan,6.0
2019,85,Rene Perez,Robert Bronzi,3.0
2017,90,Jakob Lass,Ella Rumpf,5.5
2015,89,Wych Kaosayananda,Dustin Nguyen,4.1
2022,85,Brian Nowak,Eric Roberts,2.6
2018,114,Peter Mimi,Amir Karara,5.6
2011,100,Matt Jespersen,Adam Johnson,4.0
2020,91,Andrew Thomas Hunt,Julian Richings,4.4
2015,85,Sean Cain,Enzo Zelocchi,1.6
2017,91,Mike Cuff,Dolph Lundgren,3.2
2021,88,Eric McEver,Quinn Lord,6.6
2021,85,Alexander Izotov,Michael Madsen,3.7
2015,115,Takashi Miike,Hayato Ichihara,5.5
2013,99,Clarence Fok,Donnie Yen,5.5
2015,75,Ross Patterson,Jessie Wiseman,6.3
2009,91,Franck Khalfoun,Cuba Gooding Jr.,6.0
2016,95,Andy Edwards,Marciah Vales,3.2
2021,117,Patryk Vega,Piotr Adamczyk,5.6
2012,91,John Hyams,Cung Le,4.4
2012,73,James Cullen Bressack,Jody Barton,4.3
2011,105,Bruce Koehler,Kurt Angle,2.2
2020,119,Yûichirô Hirakawa,Miyu Andô,5.5
2017,93,Brent Ryan Green,William Levy,3.2
2018,121,Sicheng Chen,Haoran Liu,6.1
2022,91,Gregory Lamberson,Alexandra Faye Sadeghian,4.4
2019,111,Jeong-beom Lee,Wasabi Mizuta,6.8
2010,93,Michael Morrissey,Caleb Steinmeyer,6.8
2019,99,James Mark,George Tchortov,4.7
2001,112,Jan Sverák,Ondrej Vetchý,7.2
2018,100,Zak Knutson,Ryan Kwanten,3.7
2014,93,Dominic Burns,Julian Ovenden,5.1
2020,111,C.J. Julianus,Lorrisa Julianus,5.1
2016,90,John Stockwell,Nic Nemeth,4.7
2021,110,Mark Goodman,Michael Zuccola,4.2
2001,93,Eric Hannah,Dante Basco,5.7
2019,102,Sven Huybrechts,Koen De Bouw,5.9
2005,95,Marcos Siega,Hugh Bonneville,4.3
2019,72,Matt Peters,Troy Baker,6.1
2017,100,Ben Browder,Samantha Hanratty,4.7
2002,73,Craig McCracken,Cathy Cavadini,6.5
2011,101,Leigh Scott,Paulie Rojas,4.5
2014,92,Jabbar Raisani,Adrian Paul,4.7
2010,84,Ryan Combs,Ving Rhames,4.5
2019,97,Wych Kaosayananda,Mark Dacascos,3.6
2012,88,Steven R. Monroe,Jason Wiles,3.9
2007,103,Nick Love,Sean Bean,5.7
2009,96,Russell Mulcahy,Thomas Jane,5.8
2019,102,Swati Bhise,Rupert Everett,4.8
2022,97,Marcelo Grion,Mark Vasconcellos,2.4
2014,90,Nick Nevern,Jason Maza,4.8
2009,71,Shin'ya Tsukamoto,Eric Bossick,5.4
2013,93,Bob Cook,Patrick Louis Ah-Wong,4.8
2015,101,Vidhu Vinod Chopra,Henry Shotwell,5.7
2019,92,Aleksandr Chernyaev,Jonathan Rhys Meyers,5.0
2014,90,Jeremy Berg,Angela DiMarco,3.2
2018,86,Jared Cohn,Steve Richard Harris,1.9
2015,100,Salamat Mukhammed-Ali,Armand Assante,2.9
2015,89,Christopher Ray,Illeana Douglas,2.7
2013,95,Sturla Gunnarsson,Dominic Purcell,4.3
2017,90,Marko Mäkilaakso,Harry Lister Smith,4.3
2012,83,Sid Bennett,Richard Dillane,4.6
2018,92,Carl Strathie,Steven Ogg,4.4
2012,84,David Ren,Jason Yee,4.8
2000,90,David Giancola,Sean Astin,3.5
2017,98,Kunihiko Yuyama,Unshô Ishizuka,6.3
2013,86,Chandran Rutnam,Ben Kingsley,4.5
2016,101,Paul Ragsdale,Delawna McKinney,4.3
2014,99,Emilis Velyvis,Vinnie Jones,6.4
2007,101,Simon Fellows,Jean-Claude Van Damme,5.7
2022,82,Len Kabasinski,Len Kabasinski,6.4
2012,93,Garrett Brawith,Barry Bostwick,5.2
2013,160,Milan Luthria,Akshay Kumar,4.4
2013,90,David Palmieri,Cuyle Carvin,1.2
2015,80,John Asher,Lee Tergesen,3.6
2004,96,David Carson,Wesley Snipes,4.9
2015,86,Shane Dax Taylor,Dominic Purcell,4.6
2016,102,Corey Asraf,Marilyn Manson,4.6
2018,96,Cecily Fay,Cecily Fay,2.3
2013,81,Mark L. Lester,Brian Krause,2.7
2007,96,Brad Furman,John Leguizamo,5.8
2021,97,Evan Jackson Leong,Sung Kang,5.2
2017,91,Ted Geoghegan,Kaniehtiio Horn,4.7
2017,91,Thomas Napper,Ian McShane,6.5
2013,88,Joseph J. Lawson,Treat Williams,2.8
2012,104,Samuel Fischer,Jonathan Bennett,6.1
2010,146,Priyadarshan,Ajay Devgn,7.0
2016,103,Fernando Lebrija,Devon Werkheiser,5.4
2009,87,Juan Avilez,Adam Salandra,1.6
2019,70,Dustin Ferguson,Dawna Lee Heising,1.4
2014,85,Justin Steele,George Eads,3.6
2003,96,Paul Fenech,Paul Fenech,5.6
2019,98,Shaun Paul Piccinino,George Thomas,5.2
2013,148,Kamal Haasan,Pooja Kumar,7.9
2010,93,Gordon Chan,Maggie Q,3.0
2018,91,Christopher Ray,William Baldwin,3.6
2018,115,Federico Alotto,Danny Glover,4.0
2016,92,Amin Matalqa,Stana Katic,5.1
2004,128,Damian Chapa,Damian Chapa,4.7
2008,94,Brian Smrz,Cuba Gooding Jr.,5.6
2000,86,Robert Adetuyi,Pras Michel,4.1
2021,113,Jim Carroll,Jordyn Barrera,3.2
2009,154,Nikkhil Advani,Akshay Kumar,4.2
2010,120,John H. Lee,Seung-Won Cha,7.3
2015,93,Howard J. Ford,Angela Dixon,5.3
2003,120,Pooja Bhatt,John Abraham,5.2
2014,112,Gabriel Sabloff,David A.R. White,5.2
2018,91,Tom Paton,Sophia Del Pizzo,3.7
2016,93,John Lyde,Melanie Stone,5.4
2010,83,Tiller Russell,Dwight Yoakam,4.1
2020,88,Brendan Petrizzo,Tom Sizemore,2.2
2002,90,John Stainton,Steve Irwin,5.4
2010,104,William Kaufman,Johnny Strong,6.1
2011,127,Mohit Suri,Emraan Hashmi,6.3
2019,117,Harley Wallen,Tom Sizemore,3.3
2023,120,Liu Xiaoshi,Yibo Wang,7.3
2020,91,John Valley,Tinus Seaux,4.9
2019,109,Tomoka Nagaoka,Minami Takayama,6.2
2013,92,Nicholas Kalikow,Carly Pope,4.8
2014,95,Nick Lyon,John Hennigan,3.2
2015,92,Christian Sesma,Luke Goss,4.2
2016,90,Jeremy M. Inman,Johnny Rey Diaz,2.2
2021,92,Danny A. Abeckaser,Katie Cassidy,4.4
2013,91,Jose Montesinos,Marco Antonio Alvarez,4.1
2013,100,Pearry Reginald Teo,Luke Roberts,3.7
2009,94,Ernie Barbarash,Cuba Gooding Jr.,4.7
2005,114,Vincent Ward,Samantha Morton,5.9
2021,86,Marlin Darrah,Carly Diamond Stone,4.7
2007,89,Johnnie To,Ching Wan Lau,7.1
2017,80,Mark Polonia,Sarah French,2.3
2000,85,Alan Jacobs,Alice Amter,4.5
2020,92,Daniel Zirilli,Johnny Strong,3.7
2001,86,Mel Smith,Kevin McNally,6.1
2022,78,Brett Bentman,Tiffany McDonald,3.9
2021,95,Justin Lee,Phil Burke,3.2
2016,101,Ron Bonk,Jennie Russo,5.0
2010,107,Assad Raja,Assad Raja,6.2
2009,90,Garrett Gilchrist,Kierstyn Elrod,5.7
2012,94,Marco Mak,Jennifer Tse,4.7
2002,120,Aleksey Balabanov,Aleksey Chadov,7.5
2013,87,Mark Atkins,Jamie Atkins,2.2
2007,92,Brent Huff,Alexander Nevsky,2.7
2017,93,Martin Christopher Bode,Mark Dacascos,4.3
2021,101,Rui Constantino,Caleb Angel,5.7
2020,91,Ant Horasanli,Francesco Filice,5.1
2014,96,John Stockwell,Scott Mechlowicz,4.3
2015,87,Greg Kiefer,John Redlinger,4.4
2022,115,Chris Soriano,Michael D. Aguilar,4.2
2022,90,Coke Horner,Michael James Alexander,8.3
2012,80,Brett Kelly,Jody Haucke,1.3
2013,80,Giulio De Santi,Rayner Bourton,4.5
2009,94,Brian Caunter,Frank Vincent,5.9
2013,83,Anthony Fankhauser,Gary Stretch,2.4
2021,88,Nick Lyon,Eric Roberts,4.5
2009,95,James Cotten,Ray Liotta,5.1
