year,runtime,director,star,rating
2006,85,David Bowers,Hugh Jackman,6.6
2012,143,Joss Whedon,Robert Downey Jr.,8.0
2007,144,Michael Bay,Shia LaBeouf,7.0
2004,131,Jon Turteltaub,Nicolas Cage,6.9
2015,138,J.J. Abrams,Daisy Ridley,7.8
2007,124,Antoine Fuqua,Mark Wahlberg,7.1
2022,104,Daniel Espinosa,Jared Leto,5.2
2020,123,Harry Bradbeer,Millie Bobby Brown,6.6
2008,126,Jon Favreau,Robert Downey Jr.,7.9
2014,113,Wes Ball,Dylan O'Brien,6.8
2012,130,Christopher McQuarrie,Tom Cruise,7.0
2008,92,Mark Osborne,Jack Black,7.6
2009,158,Roland Emmerich,John Cusack,5.8
2015,137,Francis Lawrence,Jennifer Lawrence,6.5
2015,137,James Wan,Vin Diesel,7.1
2002,145,Steven Spielberg,Tom Cruise,7.6
2019,121,Ric Roman Waugh,Gerard Butler,6.4
2009,107,Justin Lin,Vin Diesel,6.5
2021,118,Rawson Marshall Thurber,Dwayne Johnson,6.3
2022,106,Shawn Levy,Ryan Reynolds,6.7
2013,116,Marc Forster,Brad Pitt,7.0
2022,106,Joseph Kosinski,Chris Hemsworth,5.4
2022,114,Martin Campbell,Liam Neeson,5.7
2010,125,Joseph Kosinski,Jeff Bridges,6.8
2016,128,Gavin O'Connor,Ben Affleck,7.3
2018,128,J.A. Bayona,Chris Pratt,6.1
2009,162,Zack Snyder,Jackie Earle Haley,7.6
2017,130,Taika Waititi,Chris Hemsworth,7.9
2017,141,Patty Jenkins,Gal Gadot,7.4
2005,144,Ridley Scott,Orlando Bloom,7.2
2008,107,Ben Stiller,Ben Stiller,7.1
2016,116,Shane Black,Russell Crowe,7.3
2019,122,Robert Rodriguez,Rosa Salazar,7.3
2018,143,James Wan,Jason Momoa,6.8
2022,147,Ron Howard,Viggo Mortensen,7.8
2019,137,David Leitch,Dwayne Johnson,6.5
2001,122,Antoine Fuqua,Denzel Washington,7.7
2016,151,Zack Snyder,Ben Affleck,6.4
2018,110,Gary Ross,Sandra Bullock,6.3
2017,133,Jon Watts,Tom Holland,7.4
2017,136,James Gunn,Chris Pratt,7.6
2017,119,Jake Kasdan,Dwayne Johnson,6.9
2020,109,Michael Matthews,Dylan O'Brien,6.9
2021,139,Jeymes Samuel,Jonathan Majors,6.6
2014,123,Francis Lawrence,Jennifer Lawrence,6.6
2017,154,Michael Bay,Mark Wahlberg,5.2
2015,124,Colin Trevorrow,Chris Pratt,6.9
2018,140,Christian Gudegast,Gerard Butler,7.0
2017,136,F. Gary Gray,Vin Diesel,6.6
2015,141,Joss Whedon,Robert Downey Jr.,7.3
2011,115,Kenneth Branagh,Chris Hemsworth,7.0
2001,144,Ridley Scott,Josh Hartnett,7.7
2008,106,Marc Forster,Daniel Craig,6.6
2000,104,Bryan Singer,Patrick Stewart,7.3
2012,143,Sam Mendes,Daniel Craig,7.8
2013,131,Roland Emmerich,Channing Tatum,6.3
2010,117,Matthew Vaughn,Aaron Taylor-Johnson,7.6
2001,132,Brian Helgeland,Heath Ledger,6.9
2004,115,Brad Bird,Craig T. Nelson,8.0
2019,128,Michael Bay,Ryan Reynolds,6.1
2015,131,Christopher McQuarrie,Tom Cruise,7.4
2020,119,Ric Roman Waugh,Gerard Butler,6.4
2020,109,Cathy Yan,Margot Robbie,6.0
2022,105,Jared Stern,Dwayne Johnson,7.2
2016,147,Anthony Russo,Chris Evans,7.8
2022,122,Jeff Fowler,James Marsden,6.5
2003,107,John Singleton,Paul Walker,5.9
2016,118,Sang-ho Yeon,Gong Yoo,7.6
2021,148,Zack Snyder,Dave Bautista,5.7
2004,101,Zack Snyder,Sarah Polley,7.3
2017,120,Zack Snyder,Ben Affleck,6.1
2013,104,Spike Lee,Josh Brolin,5.8
2019,128,Tim Miller,Linda Hamilton,6.2
2011,140,Gavin O'Connor,Tom Hardy,8.2
2017,115,Greg McLean,Daniel Radcliffe,6.7
2009,127,J.J. Abrams,Chris Pine,7.9
2017,129,Joachim Rønning,Johnny Depp,6.5
2018,130,Steven Caple Jr.,Michael B. Jordan,7.1
2022,113,J.J. Perry,Jamie Foxx,6.1
2005,121,Francis Lawrence,Keanu Reeves,7.0
2019,123,Anna Boden,Brie Larson,6.8
2001,183,Michael Bay,Ben Affleck,6.2
2013,119,Antoine Fuqua,Gerard Butler,6.5
2005,132,James McTeigue,Hugo Weaving,8.2
2001,130,Stephen Sommers,Brendan Fraser,6.4
2021,110,Simon McQuoid,Lewis Tan,6.0
2016,144,Michael Bay,John Krasinski,7.3
2004,115,Alex Proyas,Will Smith,7.1
2011,130,Justin Lin,Vin Diesel,7.3
