movie_id,year,certificate,runtime,director,star,rating
tt1664714,2010.0,,80 min,Ken Amlin,"Melissa Amlin, 
David Bruce Bridgeo, 
Andrew Dixon, 
Sean Ireland",3.9
tt2264918,2014.0,Not Rated,94 min,Alfredo Ramos,"Ronnie Alvarez, 
Noel Gugliemi, 
Don Matter, 
Rico Aiello",3.7
tt3319350,2014,,110 min,Yoshihiro Nishimura,"Eihi Shiina, 
Asami, 
Rina Takeda, 
Bryce DiCristofalo",
tt3315066,2014.0,,64 min,"Alfredo Torella, 
Bartholomew Batton","Bandito, 
Bartholomew Batton, 
Jeff Caponigro, 
Dino Ciccarelli",7.6
tt3113206,2013.0,Not Rated,90 min,Michael Glier,"Louis Pappas, 
Maya Juchtman, 
Jim Thalman, 
Gabriel Lopez",5.6
tt1422622,2009.0,,,Creep Creepersin,"Ariauna Albright, 
Ted Alderman, 
Nathaniel Branch, 
Sean Cain",6.1
tt3136490,2013.0,,114 min,Qunshu Gao,"Angelababy, 
Xiaoming Huang, 
Joon-ho Huh, 
Hee Jae",5.0
tt8924044,2018.0,,95 min,Jordan Lopez,"John Agar, 
Ethan Allen, 
John Ashley, 
Susan Bjurman",
tt11618112,2022.0,,80 min,R.L. Scott,Kevin Lukata,
tt2293626,2015.0,,99 min,Terry Allen,"Samuel Thomas, 
Gwendoline Taylor, 
Paul Thomas Lewis, 
David Capstick",7.3
tt1123366,2007.0,,,Christopher Farley,"Christopher Farley, 
Paul Meade, 
Jennifer Ferguson, 
Colin Armstrong",6.7
tt0330832,2002.0,,,Juan Caceres,"Victor Rasuk, 
Michael 'babeepower' Viera, 
Bobby DeJesus, 
Elvis Nolasco",3.5
tt6020494,2018,,,Simon Knight,"Sebastien Foucan, 
Jamie Lomas, 
Kamil Lemie, 
Simon Pengelly",
tt1762364,2010.0,,90 min,Mathieu Weschler,Matt Challands,6.4
tt14257104,2023,,,Bazz Hancher,"Thomas Lee Rutter, 
Mark Sneddon, 
Cy Henty, 
Jay Creepy",
tt6604150,2012.0,,107 min,Paul Blair,,
tt3039138,2013.0,,90 min,Sein Qudsi,"Adi Putra, 
Namron, 
Hans Isaac, 
Khir Rahman",6.0
tt20868614,2019.0,,49 min,John Ryan,"Eva Wyrwal, 
Kirk Bromley, 
Kev Walder, 
John Ryan",
tt11731072,2022.0,,,Kyle Newman,,
tt6654294,2017.0,,140 min,Kelly Weaver,"Christopher Applegate, 
Ina Applegate, 
Taylor Ann August, 
Misty Autery",
tt0265226,2001.0,,100 min,Gregory Wilson,"Yancey Arias, 
Keith David, 
Luis Guzmán, 
Nelson Vasquez",5.9
tt4726540,2017,,,Darren Denison,,
tt13499936,2020.0,,,,,
tt12416788,2020.0,,70 min,Bud Banister,"Lisa Cronauer, 
Simon Hill, 
Larry G. Jones, 
Aidan Mccreary",4.0
tt7254624,2017.0,,,"Carl Neyland II, 
Farrukh Sheikh","Blanca Samperio, 
Julie Fontenot, 
Terence A. Banks, 
Kalvin Kosha",
tt2193225,2012.0,,79 min,Stanislov Stanislovski,"Kaleigh Baugh, 
Melissa Chasteen, 
Vincent DeMarco, 
Ashley Dougherty",7.5
tt2347698,2012.0,Unrated,92 min,Sean Klisiewecz,"Jennifer Brown, 
Shannon Brown, 
Aviane Herbst, 
Robb Herbst",7.2
tt2343619,2015,,,Geraint Wyn Davies,,
tt5310572,2016,,,Jason S. Williams,"Philip Michael, 
Elizabeth June, 
Sachiko Ishida, 
Tess Kielhamer",
tt1532261,2009.0,,96 min,Eldar Salavatov,"Gosha Kutsenko, 
Evgeniy Antropov, 
Sergey Badyuk, 
Yusup Bakhshiev",5.8
tt2281453,2017,,,Patrick Tatopoulos,,
tt2251513,2011.0,,82 min,Dave Osborne,"Aris Athanasopoulos, 
Erich Boehm, 
David Godfrey, 
Bruce Hayward",5.3
tt0790810,2008.0,,85 min,Mark Duncan,"Paul Logan, 
Mike Nyman, 
Gregory Balaban, 
Zena Leigh Logan",5.3
tt26451308,2021.0,,89 min,Santiago Reveco Lepe,"Microsoft Sam, 
Microsoft Mike, 
Microsoft Mary, 
Microsoft Anna",
tt9552932,2020.0,,,Stanton Chong,"Berlin Lu, 
Nalani Wakita, 
Mitra Suri, 
Ken Do",
tt6752802,2019,,,,,
tt0465506,2006.0,,78 min,Jason Stephenson,"Nicole Blessing, 
Douglas Sidney, 
H.T. Altman, 
Don Prentiss",4.3
tt3180072,2023,,,Lj Ugarte,Lj Ugarte,
tt1990337,2011.0,Not Rated,70 min,Clay Von Thomas,"Jerry Della Salla, 
Michael Finn, 
Eugene Byrd, 
Emily Brownell",7.7
tt0447988,2005.0,,119 min,"Kenya Cagle, 
Gail Rorant","Mary Sarah Agliotta, 
Ahmed Salaam Azziz, 
Darnell Bell, 
Ellen Bodkins",8.0
